document_id,document_text,metadata
1,This document provides details about payment methods. Customers should follow the outlined procedures to ensure compliance. Requires proof of purchase.,Requires proof of purchase
2,This document provides details about troubleshooting steps. Customers should follow the outlined procedures to ensure compliance. Subject to availability.,Subject to availability
3,This document provides details about refund policy. Customers should follow the outlined procedures to ensure compliance. Limited to US customers.,Limited to US customers
4,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. Customer service contact required.,Customer service contact required
5,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. Requires account verification.,Requires account verification
6,This document provides details about return process. Customers should follow the outlined procedures to ensure compliance. May vary by region.,May vary by region
7,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. Subject to availability.,Subject to availability
8,This document provides details about account recovery. Customers should follow the outlined procedures to ensure compliance. Digital products only.,Digital products only
9,This document provides details about feature comparison. Customers should follow the outlined procedures to ensure compliance. New policy effective March 2024.,New policy effective March 2024
10,This document provides details about account recovery. Customers should follow the outlined procedures to ensure compliance. Updated for 2024.,Updated for 2024
11,This document provides details about refund policy. Customers should follow the outlined procedures to ensure compliance. Eligible for partial refunds only.,Eligible for partial refunds only
12,This document provides details about discount eligibility. Customers should follow the outlined procedures to ensure compliance. Updated for 2024.,Updated for 2024
13,This document provides details about technical support. Customers should follow the outlined procedures to ensure compliance. Updated for 2024.,Updated for 2024
14,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. New policy effective March 2024.,New policy effective March 2024
15,This document provides details about privacy policy. Customers should follow the outlined procedures to ensure compliance. Customer service contact required.,Customer service contact required
16,This document provides details about subscription cancellation. Customers should follow the outlined procedures to ensure compliance. Digital products only.,Digital products only
17,This document provides details about troubleshooting steps. Customers should follow the outlined procedures to ensure compliance. Subject to availability.,Subject to availability
18,This document provides details about technical support. Customers should follow the outlined procedures to ensure compliance. Requires proof of purchase.,Requires proof of purchase
19,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. Digital products only.,Digital products only
20,This document provides details about return process. Customers should follow the outlined procedures to ensure compliance. Digital products only.,Digital products only
21,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. Digital products only.,Digital products only
22,This document provides details about refund policy. Customers should follow the outlined procedures to ensure compliance. Requires proof of purchase.,Requires proof of purchase
23,This document provides details about refund policy. Customers should follow the outlined procedures to ensure compliance. May vary by region.,May vary by region
24,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. Subject to availability.,Subject to availability
25,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. Requires account verification.,Requires account verification
26,This document provides details about account recovery. Customers should follow the outlined procedures to ensure compliance. Eligible for partial refunds only.,Eligible for partial refunds only
27,This document provides details about ai chatbot usage. Customers should follow the outlined procedures to ensure compliance. Limited to US customers.,Limited to US customers
28,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. Subject to availability.,Subject to availability
29,This document provides details about subscription cancellation. Customers should follow the outlined procedures to ensure compliance. Includes international orders.,Includes international orders
30,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. Eligible for partial refunds only.,Eligible for partial refunds only
31,This document provides details about technical support. Customers should follow the outlined procedures to ensure compliance. Eligible for partial refunds only.,Eligible for partial refunds only
32,This document provides details about technical support. Customers should follow the outlined procedures to ensure compliance. Eligible for partial refunds only.,Eligible for partial refunds only
33,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. New policy effective March 2024.,New policy effective March 2024
34,This document provides details about terms of service. Customers should follow the outlined procedures to ensure compliance. Includes international orders.,Includes international orders
35,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. Digital products only.,Digital products only
36,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. Requires proof of purchase.,Requires proof of purchase
37,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. Requires account verification.,Requires account verification
38,This document provides details about privacy policy. Customers should follow the outlined procedures to ensure compliance. Includes international orders.,Includes international orders
39,This document provides details about ai chatbot usage. Customers should follow the outlined procedures to ensure compliance. Includes international orders.,Includes international orders
40,This document provides details about payment methods. Customers should follow the outlined procedures to ensure compliance. Limited to US customers.,Limited to US customers
41,This document provides details about return process. Customers should follow the outlined procedures to ensure compliance. Applies to premium members.,Applies to premium members
42,This document provides details about return process. Customers should follow the outlined procedures to ensure compliance. Requires account verification.,Requires account verification
43,This document provides details about ai chatbot usage. Customers should follow the outlined procedures to ensure compliance. Applies to premium members.,Applies to premium members
44,This document provides details about payment methods. Customers should follow the outlined procedures to ensure compliance. New policy effective March 2024.,New policy effective March 2024
45,This document provides details about payment methods. Customers should follow the outlined procedures to ensure compliance. Requires account verification.,Requires account verification
46,This document provides details about subscription cancellation. Customers should follow the outlined procedures to ensure compliance. New policy effective March 2024.,New policy effective March 2024
47,This document provides details about terms of service. Customers should follow the outlined procedures to ensure compliance. Eligible for partial refunds only.,Eligible for partial refunds only
48,This document provides details about refund policy. Customers should follow the outlined procedures to ensure compliance. Digital products only.,Digital products only
49,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. Customer service contact required.,Customer service contact required
50,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. Digital products only.,Digital products only
51,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. Digital products only.,Digital products only
52,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. Limited to US customers.,Limited to US customers
53,This document provides details about privacy policy. Customers should follow the outlined procedures to ensure compliance. Applies to premium members.,Applies to premium members
54,This document provides details about troubleshooting steps. Customers should follow the outlined procedures to ensure compliance. Subject to availability.,Subject to availability
55,This document provides details about product warranty. Customers should follow the outlined procedures to ensure compliance. Includes international orders.,Includes international orders
56,This document provides details about subscription cancellation. Customers should follow the outlined procedures to ensure compliance. Requires account verification.,Requires account verification
57,This document provides details about subscription cancellation. Customers should follow the outlined procedures to ensure compliance. Subject to availability.,Subject to availability
58,This document provides details about account recovery. Customers should follow the outlined procedures to ensure compliance. Requires proof of purchase.,Requires proof of purchase
59,This document provides details about shipping information. Customers should follow the outlined procedures to ensure compliance. Eligible for partial refunds only.,Eligible for partial refunds only
60,This document provides details about privacy policy. Customers should follow the outlined procedures to ensure compliance. Applies to premium members.,Applies to premium members
