query_id,query_text
1,How can I contact customer support?
2,can i purchase a gift card
3,"My order hasn't arrived yet, what should I do?"
4,How do I reset my password?
5,how do i track my order
6,how can i update my account details
7,Can I change my email address in my account settings?
8,"My order hasn't arrived yet, what should I do?"
9,Can I purchase a gift card?
10,what is the estimated delivery time for orders
11,What are the terms and conditions for returns?
12,How do I reset my password?
13,What is your refund policy?
14,what is your refund policy
15,can i change my email address in my account settings
16,Can I purchase a gift card?
17,can i change my shipping address after placing an order
18,how can i update my account details
19,Are there any discounts for first-time customers?
20,Are there any discounts for first-time customers?
21,are my payment details secure
22,What payment methods do you accept?
23,How can I update my account details?
24,How do I redeem a promo code?
25,Can I change my email address in my account settings?
26,"i received a damaged product, how can i get a replacement"
27,What should I do if my payment fails?
28,How can I contact customer support?
29,can i purchase a gift card
30,what is the estimated delivery time for orders
31,are my payment details secure
32,"My order hasn't arrived yet, what should I do?"
33,What is your refund policy?
34,Can I change my shipping address after placing an order?
35,How do I redeem a promo code?
36,How do I reset my password?
37,"my order hasn't arrived yet, what should i do"
38,do you offer gift wrapping services
39,how can i contact customer support
40,How do I track my order?
41,What payment methods do you accept?
42,"I received a damaged product, how can I get a replacement?"
43,what is your refund policy
44,"I received a damaged product, how can I get a replacement?"
45,Can I change my shipping address after placing an order?
46,what are the terms and conditions for returns
47,do you offer gift wrapping services
48,what are the terms and conditions for returns
49,How can I update my account details?
50,Are there any discounts for first-time customers?
51,Are my payment details secure?
52,Can I cancel my order after it's been shipped?
53,Do you offer international shipping?
54,How do I track my order?
55,How can I update my account details?
56,How do I track my order?
57,what payment methods do you accept
58,Are there any discounts for first-time customers?
59,how can i update my account details
60,What is the estimated delivery time for orders?
61,What should I do if my payment fails?
62,What payment methods do you accept?
63,Can I change my shipping address after placing an order?
64,What payment methods do you accept?
65,do you offer international shipping
66,How do I redeem a promo code?
67,what should i do if my payment fails
68,how can i update my account details
69,can i change my shipping address after placing an order
70,how do i track my order
71,How can I update my account details?
72,how do i redeem a promo code
73,what are the terms and conditions for returns
74,Are my payment details secure?
75,"My order hasn't arrived yet, what should I do?"
76,How do I reset my password?
77,Do you offer gift wrapping services?
78,Do you offer gift wrapping services?
79,Are there any discounts for first-time customers?
80,How do I redeem a promo code?
81,Can I cancel my order after it's been shipped?
82,Can I change my email address in my account settings?
83,how can i update my account details
84,How do I redeem a promo code?
85,What is the estimated delivery time for orders?
86,How do I redeem a promo code?
87,Are there any discounts for first-time customers?
88,How can I contact customer support?
89,Can I change my shipping address after placing an order?
90,How can I contact customer support?
91,can i change my email address in my account settings
92,what is the estimated delivery time for orders
93,how can i contact customer support
94,how can i update my account details
95,What is the estimated delivery time for orders?
96,How do I reset my password?
97,What is the estimated delivery time for orders?
98,Do you offer international shipping?
99,What is your refund policy?
100,how do i redeem a promo code
101,Can I change my shipping address after placing an order?
102,what are the terms and conditions for returns
103,Are my payment details secure?
104,can i change my email address in my account settings
105,What is your refund policy?
106,What is your refund policy?
107,How can I contact customer support?
108,what is the estimated delivery time for orders
109,Are there any discounts for first-time customers?
110,can i purchase a gift card
111,What is the estimated delivery time for orders?
112,how can i update my account details
113,How can I update my account details?
114,Can I change my email address in my account settings?
115,how do i redeem a promo code
116,what is your refund policy
117,Are my payment details secure?
118,Do you offer international shipping?
119,how do i redeem a promo code
120,are my payment details secure
121,can i cancel my order after it's been shipped
122,Do you offer international shipping?
123,What payment methods do you accept?
124,Do you offer gift wrapping services?
125,Can I cancel my order after it's been shipped?
126,Can I purchase a gift card?
127,Can I change my shipping address after placing an order?
128,Can I change my shipping address after placing an order?
129,Can I purchase a gift card?
130,what is the estimated delivery time for orders
131,How do I redeem a promo code?
132,What is your refund policy?
133,How do I reset my password?
134,Are my payment details secure?
135,How can I contact customer support?
136,can i cancel my order after it's been shipped
137,what should i do if my payment fails
138,"my order hasn't arrived yet, what should i do"
139,can i purchase a gift card
140,can i change my shipping address after placing an order
141,What are the terms and conditions for returns?
142,How can I update my account details?
143,"My order hasn't arrived yet, what should I do?"
144,What should I do if my payment fails?
145,How can I contact customer support?
146,what is your refund policy
147,Are my payment details secure?
148,What should I do if my payment fails?
149,What are the terms and conditions for returns?
150,Are there any discounts for first-time customers?
151,what payment methods do you accept
152,Do you offer gift wrapping services?
153,Are my payment details secure?
154,Are my payment details secure?
155,Do you offer international shipping?
156,Do you offer gift wrapping services?
157,What is your refund policy?
158,What should I do if my payment fails?
159,How can I contact customer support?
160,can i purchase a gift card
161,Can I purchase a gift card?
162,Are my payment details secure?
163,how do i track my order
164,Can I cancel my order after it's been shipped?
165,what payment methods do you accept
166,"I received a damaged product, how can I get a replacement?"
167,how do i reset my password
168,Can I change my email address in my account settings?
169,what are the terms and conditions for returns
170,Can I purchase a gift card?
171,Do you offer international shipping?
172,Do you offer international shipping?
173,Can I change my email address in my account settings?
174,How do I track my order?
175,Can I change my shipping address after placing an order?
176,How do I track my order?
177,how do i reset my password
178,how do i track my order
179,are my payment details secure
180,Can I change my email address in my account settings?
181,What are the terms and conditions for returns?
182,Are there any discounts for first-time customers?
183,How can I contact customer support?
184,how do i reset my password
185,"I received a damaged product, how can I get a replacement?"
186,Do you offer international shipping?
187,are there any discounts for first-time customers
188,Are my payment details secure?
189,How can I contact customer support?
190,can i change my shipping address after placing an order
191,How do I reset my password?
192,are my payment details secure
193,what are the terms and conditions for returns
194,do you offer gift wrapping services
195,What is the estimated delivery time for orders?
196,How do I redeem a promo code?
197,are there any discounts for first-time customers
198,How do I reset my password?
199,What are the terms and conditions for returns?
200,Do you offer international shipping?
201,"I received a damaged product, how can I get a replacement?"
202,How do I redeem a promo code?
203,What are the terms and conditions for returns?
204,Can I purchase a gift card?
205,How can I update my account details?
206,how do i reset my password
207,what payment methods do you accept
208,Can I cancel my order after it's been shipped?
209,How do I track my order?
210,how do i reset my password
211,What is your refund policy?
212,"I received a damaged product, how can I get a replacement?"
213,Can I cancel my order after it's been shipped?
214,How can I contact customer support?
215,How do I reset my password?
216,do you offer gift wrapping services
217,Can I change my shipping address after placing an order?
218,do you offer international shipping
219,"I received a damaged product, how can I get a replacement?"
220,can i change my shipping address after placing an order
221,Are my payment details secure?
222,are there any discounts for first-time customers
223,Do you offer gift wrapping services?
224,Can I cancel my order after it's been shipped?
225,"My order hasn't arrived yet, what should I do?"
226,How can I update my account details?
227,How can I contact customer support?
228,Do you offer international shipping?
229,Can I change my shipping address after placing an order?
230,"I received a damaged product, how can I get a replacement?"
231,Can I change my shipping address after placing an order?
232,what is your refund policy
233,How do I reset my password?
234,How can I update my account details?
235,What should I do if my payment fails?
236,Can I cancel my order after it's been shipped?
237,How can I update my account details?
238,what should i do if my payment fails
239,are there any discounts for first-time customers
240,can i change my shipping address after placing an order
241,Do you offer gift wrapping services?
242,What payment methods do you accept?
243,do you offer international shipping
244,"My order hasn't arrived yet, what should I do?"
245,Can I change my email address in my account settings?
246,How do I redeem a promo code?
247,are there any discounts for first-time customers
248,can i change my email address in my account settings
249,Do you offer international shipping?
250,can i purchase a gift card
251,how can i contact customer support
252,Are there any discounts for first-time customers?
253,What is your refund policy?
254,How do I reset my password?
255,What payment methods do you accept?
256,"My order hasn't arrived yet, what should I do?"
257,Can I change my email address in my account settings?
258,are there any discounts for first-time customers
259,can i change my email address in my account settings
260,"I received a damaged product, how can I get a replacement?"
261,can i cancel my order after it's been shipped
262,How do I track my order?
263,What payment methods do you accept?
264,how can i contact customer support
265,What is the estimated delivery time for orders?
266,"my order hasn't arrived yet, what should i do"
267,Do you offer international shipping?
268,can i change my email address in my account settings
269,do you offer gift wrapping services
270,How do I redeem a promo code?
271,Are there any discounts for first-time customers?
272,Are there any discounts for first-time customers?
273,how do i reset my password
274,Do you offer international shipping?
275,How do I redeem a promo code?
276,are there any discounts for first-time customers
277,"my order hasn't arrived yet, what should i do"
278,How do I reset my password?
279,Can I change my email address in my account settings?
280,how can i contact customer support
281,What are the terms and conditions for returns?
282,what payment methods do you accept
283,Do you offer international shipping?
284,how can i contact customer support
285,are there any discounts for first-time customers
286,Can I change my email address in my account settings?
